SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE
22018,203076,0021800349,"DEC 03, 2018",NOP vs. LAC,L,39,10,18,0.556,0,4,0.0,3,4,0.75,3,10,13,5,3,3,2,3,23,5,1,100.25,0.244,109.50,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,104.4,105.4
22018,203076,0021800338,"DEC 02, 2018",NOP @ CHA,W,37,14,19,0.737,2,3,0.667,6,6,1.0,4,15,19,8,2,2,4,4,36,14,1,103.59,0.278,111.44,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,103.2,104.80000000000001
22018,203076,0021800324,"NOV 30, 2018",NOP @ MIA,L,41,15,23,0.652,2,5,0.4,9,10,0.9,1,8,9,2,1,4,2,2,41,9,1,100.1,0.302,109.87,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,103.5,104.95
22018,203076,0021800312,"NOV 28, 2018",NOP vs. WAS,W,34,9,21,0.429,2,6,0.333,8,9,0.889,4,11,15,3,1,2,3,1,28,23,1,105.35,0.278,112.78,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,104.9,105.65
22018,203076,0021800298,"NOV 26, 2018",NOP vs. BOS,L,37,8,19,0.421,0,2,0.0,11,12,0.917,4,12,16,5,3,3,5,2,27,-12,1,99.9,0.322,104.53,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,101.7,104.05000000000001
22018,203076,0021800269,"NOV 23, 2018",NOP @ NYK,L,32,12,19,0.632,1,1,1.0,8,10,0.8,3,8,11,4,0,0,0,3,33,-6,1,104.2,0.264,114.03,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,102.6,104.5
22018,203076,0021800253,"NOV 21, 2018",NOP @ PHI,L,41,4,13,0.308,0,2,0.0,4,7,0.571,6,10,16,6,5,5,6,3,12,-7,1,106.58,0.198,108.64,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,104.9,105.65
22018,203076,0021800246,"NOV 19, 2018",NOP vs. SAS,W,32,13,22,0.591,0,1,0.0,3,3,1.0,3,6,9,4,2,2,2,1,29,7,1,101.52,0.329,114.43,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,100.6,103.5
22018,203076,0021800228,"NOV 17, 2018",NOP vs. DEN,W,38,10,20,0.5,0,1,0.0,20,21,0.952,4,4,8,8,0,1,0,4,40,11,1,99.27,0.33,104.71,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,100.5,103.45
22018,203076,0021800222,"NOV 16, 2018",NOP vs. NYK,W,40,16,25,0.64,1,4,0.25,10,15,0.667,4,13,17,5,1,1,2,2,43,10,1,112.92,0.286,114.03,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,102.6,104.5
22018,203076,0021800208,"NOV 14, 2018",NOP @ MIN,L,41,9,25,0.36,2,3,0.667,9,10,0.9,2,9,11,2,2,4,0,2,29,6,1,105.93,0.291,109.34,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,102.9,104.65
22018,203076,0021800192,"NOV 12, 2018",NOP @ TOR,W,40,11,20,0.55,1,2,0.5,2,2,1.0,8,12,20,6,0,2,4,4,25,17,1,102.73,0.25,107.98,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,103.3,104.85
22018,203076,0021800176,"NOV 10, 2018",NOP vs. PHX,W,36,7,18,0.389,0,2,0.0,12,12,1.0,4,9,13,6,1,2,1,2,26,26,1,101.01,0.272,114.07,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,101.9,104.15
22018,203076,0021800159,"NOV 07, 2018",NOP vs. CHI,W,37,13,24,0.542,2,4,0.5,4,7,0.571,2,13,15,7,1,4,4,2,32,8,1,104.32,0.323,109.94,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,102.8,104.6
22018,203076,0021800144,"NOV 05, 2018",NOP @ OKC,L,38,7,20,0.35,0,1,0.0,6,7,0.857,4,4,8,1,0,1,5,2,20,-18,1,109.53,0.286,101.05,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,105.1,105.75
22018,203076,0021800130,"NOV 03, 2018",NOP @ SAS,L,40,5,13,0.385,0,2,0.0,7,10,0.7,0,8,8,3,2,5,3,3,17,-5,1,98.59,0.241,114.43,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,100.6,103.5
22018,203076,0021800108,"OCT 31, 2018",NOP @ GSW,L,41,6,16,0.375,1,4,0.25,4,5,0.8,3,9,12,7,0,1,2,3,17,-2,1,104.64,0.194,111.25,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,102.8,104.6
22018,203076,0021800072,"OCT 26, 2018",NOP vs. BKN,W,38,6,19,0.316,1,3,0.333,5,7,0.714,4,10,14,3,4,5,1,4,18,5,1,102.63,0.242,112.19,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,101.0,103.7
22018,203076,0021800050,"OCT 23, 2018",NOP vs. LAC,W,40,11,21,0.524,2,3,0.667,10,15,0.667,5,8,13,2,1,5,0,3,34,15,1,101.02,0.289,109.50,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,104.4,105.4
22018,203076,0021800022,"OCT 19, 2018",NOP vs. SAC,W,27,8,12,0.667,1,1,1.0,8,12,0.667,4,6,10,6,2,2,4,1,25,21,2,114.84,0.297,111.64,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,107.2,106.80000000000001
22018,203076,0021800009,"OCT 17, 2018",NOP @ HOU,W,39,13,21,0.619,0,0,0.0,6,7,0.857,2,14,16,8,3,3,1,5,32,23,2,103.67,0.263,113.39,19.4,0.507,0.9,0.333,9.1,0.812,37.5,106.4,99.3,102.85
