SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE,LAST_10_FGA,LAST_10_3PA,LAST_10_FTA,LAST_3_MIN,LAST_10_FG_PCT,LAST_10_3P_PCT,LAST_10_FT_PCT
22015,201933,21501216,12-Apr-16,LAC vs. MEM,W,23,5,10,0.5,0,0,0,2,3,0.667,0,7,7,4,3,0,2,3,12,12,1,96.96,0.25,108.45,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,95.7,96.85,13.2,0.5,3.6,27,0.4186,0.1,0.7281
22015,201933,21501196,10-Apr-16,LAC vs. DAL,W,33,7,18,0.389,0,0,0,3,5,0.6,2,9,11,7,2,0,4,5,17,-1,1,94.43,0.343,107.13,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,96.4,97.2,13.2,0.5,3.6,27,0.4186,0.1,0.7281
22015,201933,21501172,6-Apr-16,LAC @ LAL,W,25,5,10,0.5,0,0,0,3,4,0.75,0,8,8,3,1,0,1,0,13,12,1,98.71,0.232,111.92,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,98,98,13.2,0.5,3.6,27,0.4186,0.1,0.7281
22015,201933,21501164,5-Apr-16,LAC vs. LAL,W,17,1,5,0.2,0,1,0,2,2,1,0,3,3,3,1,0,4,0,4,28,1,101.43,0.263,111.92,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,98,98,13.2,0.5,3.6,27,0.4186,0.1,0.7281
22015,201933,21501147,3-Apr-16,LAC vs. WAS,W,25,2,7,0.286,0,0,0,2,2,1,0,5,5,4,0,0,1,2,6,23,1,100.75,0.158,106.62,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,100.6,99.3,13.2,0.5,3.6,25,0.4186,0.1,0.7281
22015,201933,21500440,25-Dec-15,LAC @ LAL,W,36,6,16,0.375,0,1,0,1,2,0.5,3,9,12,7,1,1,6,4,13,21,1,98.32,0.28,111.92,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,98,98,13.2,0.5,3.6,22.33333333,0.4186,0.1,0.7281
22015,201933,21500418,21-Dec-15,LAC vs. OKC,L,36,7,21,0.333,0,1,0,1,2,0.5,0,7,7,5,0,0,1,3,15,-5,1,97.1,0.288,106.29,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,99.4,98.7,13.2,0.5,3.6,26,0.4186,0.1,0.7281
22015,201933,21500401,19-Dec-15,LAC @ HOU,L,36,9,13,0.692,0,0,0,4,5,0.8,0,8,8,6,1,0,2,5,22,-15,1,101.02,0.213,108.96,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,100.1,99.05,13.2,0.5,3.6,32.33333333,0.4186,0.1,0.7281
22015,201933,21500393,18-Dec-15,LAC @ SAS,L,40,10,19,0.526,2,2,1,3,4,0.75,0,5,5,5,1,0,1,3,25,8,1,93.09,0.256,99.49,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,95.7,96.85,13.2,0.5,3.6,36,0.4186,0.1,0.7281
22015,201933,21500382,16-Dec-15,LAC vs. MIL,W,34,5,13,0.385,0,0,0,5,7,0.714,1,7,8,5,0,1,0,0,15,17,1,82.91,0.225,109.69,17.2,0.499,0.2,0.333,5.5,0.727,33.4,98,96.6,97.3,13.2,0.5,3.6,37.33333333,0.4186,0.1,0.7281
