SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE
22018,201933,0021800343,"DEC 03, 2018",DET vs. OKC,L,30,7,18,0.389,3,8,0.375,3,4,0.75,1,4,5,4,2,1,1,0,20,-22,1,100.1,0.278,101.05,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,105.1,103.94999999999999
22018,201933,0021800331,"DEC 01, 2018",DET vs. GSW,W,34,9,22,0.409,2,9,0.222,6,6,1.0,0,6,6,5,0,0,2,1,26,3,1,101.87,0.307,111.25,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,102.8,102.8
22018,201933,0021800321,"NOV 30, 2018",DET vs. CHI,W,31,7,12,0.583,2,4,0.5,4,7,0.571,1,9,10,5,0,0,2,5,20,21,1,95.85,0.236,109.94,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,102.8,102.8
22018,201933,0021800301,"NOV 27, 2018",DET vs. NYK,W,36,9,21,0.429,0,5,0.0,12,16,0.75,0,4,4,5,0,0,2,0,30,0,1,104.57,0.345,114.03,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,102.6,102.69999999999999
22018,201933,0021800287,"NOV 25, 2018",DET vs. PHX,W,35,7,16,0.438,2,8,0.25,0,0,0.0,0,3,3,11,0,0,5,2,16,7,2,97.9,0.239,114.07,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,101.9,102.35
22018,201933,0021800267,"NOV 23, 2018",DET vs. HOU,W,43,9,18,0.5,2,6,0.333,8,12,0.667,2,7,9,4,0,0,4,3,28,5,1,92.83,0.283,113.39,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,99.3,101.05
22018,201933,0021800258,"NOV 21, 2018",DET @ HOU,L,38,9,21,0.429,6,9,0.667,13,15,0.867,5,6,11,4,0,0,9,5,37,-9,1,100.11,0.398,113.39,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,99.3,101.05
22018,201933,0021800240,"NOV 19, 2018",DET vs. CLE,W,37,7,12,0.583,2,4,0.5,5,5,1.0,1,11,12,5,1,1,5,4,21,20,1,96.73,0.226,115.73,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,99.1,100.94999999999999
22018,201933,0021800206,"NOV 14, 2018",DET @ TOR,W,40,13,22,0.591,3,8,0.375,1,2,0.5,1,11,12,3,3,2,5,2,30,6,1,104.85,0.295,107.98,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,103.3,103.05
22018,201933,0021800184,"NOV 11, 2018",DET vs. CHA,L,30,4,16,0.25,0,5,0.0,2,3,0.667,3,3,6,5,0,1,3,3,10,-19,1,93.84,0.256,111.44,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,103.2,103.0
22018,201933,0021800169,"NOV 09, 2018",DET @ ATL,W,26,2,10,0.2,1,5,0.2,1,3,0.333,0,9,9,9,2,0,1,2,6,22,1,106.36,0.188,112.22,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,108.4,105.6
22018,201933,0021800154,"NOV 07, 2018",DET @ ORL,W,35,7,17,0.412,1,5,0.2,5,6,0.833,1,4,5,3,1,0,3,3,20,-8,1,103.15,0.261,108.80,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,101.1,101.94999999999999
22018,201933,0021800140,"NOV 05, 2018",DET vs. MIA,L,40,8,21,0.381,2,8,0.25,6,8,0.75,3,12,15,7,1,0,4,6,24,15,1,101.26,0.29,109.87,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,103.5,103.15
22018,201933,0021800125,"NOV 03, 2018",DET @ PHI,L,37,12,21,0.571,2,7,0.286,12,16,0.75,1,12,13,6,2,0,7,5,38,-9,1,110.17,0.379,108.64,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,104.9,103.85
22018,201933,0021800104,"OCT 31, 2018",DET @ BKN,L,42,8,18,0.444,4,8,0.5,5,7,0.714,2,7,9,4,2,1,6,5,25,-14,1,101.38,0.252,112.19,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,101.0,101.9
22018,201933,0021800099,"OCT 30, 2018",DET @ BOS,L,34,8,17,0.471,0,4,0.0,8,8,1.0,0,15,15,3,0,1,5,5,24,-13,1,108.94,0.306,104.53,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,101.7,102.25
22018,201933,0021800074,"OCT 27, 2018",DET vs. BOS,L,30,2,13,0.154,0,4,0.0,3,4,0.75,0,6,6,3,0,0,3,1,7,-14,1,104.84,0.261,104.53,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,101.7,102.25
22018,201933,0021800063,"OCT 25, 2018",DET vs. CLE,W,36,9,13,0.692,4,5,0.8,4,5,0.8,3,7,10,3,1,1,6,3,26,6,1,97.86,0.239,115.73,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,99.1,100.94999999999999
22018,201933,0021800049,"OCT 23, 2018",DET vs. PHI,W,44,20,35,0.571,5,10,0.5,5,11,0.455,3,11,14,6,0,1,1,4,50,4,1,102.49,0.364,108.64,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,104.9,103.85
22018,201933,0021800031,"OCT 20, 2018",DET @ CHI,W,35,12,23,0.522,5,7,0.714,4,6,0.667,4,8,12,5,0,1,0,1,33,17,2,99.98,0.31,109.94,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,102.8,102.8
22018,201933,0021800004,"OCT 17, 2018",DET vs. BKN,W,34,8,17,0.471,1,1,1.0,9,11,0.818,2,6,8,6,0,0,1,0,26,8,2,102.21,0.247,112.19,18.2,0.462,2.2,0.362,7.4,0.748,35.7,102.8,101.0,101.9
