SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE
22018,203081,0021800352,"DEC 04, 2018",POR @ DAL,L,38,10,23,0.435,2,8,0.25,11,12,0.917,2,6,8,8,1,2,6,5,33,-12,1,106.19,0.359,109.07,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,102.8,102.65
22018,203081,0021800342,"DEC 02, 2018",POR @ SAS,L,41,12,28,0.429,3,11,0.273,10,10,1.0,0,2,2,10,2,0,1,2,37,-7,1,102.65,0.347,114.43,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,100.6,101.55
22018,203081,0021800329,"NOV 30, 2018",POR vs. DEN,L,40,6,16,0.375,3,8,0.375,0,0,0.0,0,1,1,8,0,0,1,1,15,-4,1,97.25,0.187,104.71,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,100.5,101.5
22018,203081,0021800314,"NOV 28, 2018",POR vs. ORL,W,37,13,22,0.591,10,15,0.667,5,7,0.714,0,8,8,4,2,1,3,2,41,15,1,98.91,0.311,108.80,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,101.1,101.8
22018,203081,0021800293,"NOV 25, 2018",POR vs. LAC,L,41,12,27,0.444,3,13,0.231,3,4,0.75,1,5,6,4,0,0,3,3,30,-13,1,98.91,0.32,109.50,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,104.4,103.45
22018,203081,0021800277,"NOV 23, 2018",POR @ GSW,L,35,9,24,0.375,3,7,0.429,2,3,0.667,0,2,2,8,2,1,2,1,23,-19,1,104.98,0.3,111.25,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,102.8,102.65
22018,203081,0021800259,"NOV 21, 2018",POR @ MIL,L,31,5,12,0.417,1,6,0.167,11,13,0.846,0,4,4,5,0,2,4,2,22,-25,1,110.71,0.263,106.54,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,105.9,104.2
22018,203081,0021800251,"NOV 20, 2018",POR @ NYK,W,36,9,22,0.409,3,9,0.333,8,10,0.8,1,5,6,8,2,0,4,2,29,8,1,99.45,0.33,114.03,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,102.6,102.55
22018,203081,0021800237,"NOV 18, 2018",POR @ WAS,W,38,12,29,0.414,3,10,0.3,13,15,0.867,2,4,6,5,1,0,1,2,40,17,1,107.85,0.379,112.78,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,104.9,103.7
22018,203081,0021800221,"NOV 16, 2018",POR @ MIN,L,37,5,18,0.278,1,7,0.143,5,6,0.833,2,4,6,5,0,0,5,2,16,-21,1,102.34,0.272,109.34,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,102.9,102.7
22018,203081,0021800212,"NOV 14, 2018",POR @ LAL,L,38,8,23,0.348,3,9,0.333,12,13,0.923,1,7,8,11,0,1,2,2,31,-7,1,105.58,0.316,107.33,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,105.9,104.2
22018,203081,0021800188,"NOV 11, 2018",POR vs. BOS,W,35,7,15,0.467,2,7,0.286,3,3,1.0,0,5,5,12,0,0,4,1,19,15,1,97.32,0.244,104.53,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,101.7,102.1
22018,203081,0021800165,"NOV 08, 2018",POR vs. LAC,W,35,11,25,0.44,3,7,0.429,0,0,0.0,1,3,4,4,1,1,2,1,25,5,1,100.26,0.307,109.50,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,104.4,103.45
22018,203081,0021800152,"NOV 06, 2018",POR vs. MIL,W,36,5,15,0.333,3,7,0.429,0,0,0.0,1,5,6,3,0,1,2,2,13,12,1,101.08,0.193,106.54,20.2,0.439,2.9,0.355,7.4,0.898,35.5,102.5,105.9,104.2
