SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE,LAST_10_FGA,LAST_10_3PA,LAST_10_FTA,LAST_3_MIN,LAST_10_FG_PCT,LAST_10_3P_PCT,LAST_10_FT_PCT
22015,203507,21501225,13-Apr-16,MIL vs. IND,L,29,7,14,0.5,1,5,0.2,4,4,1,2,7,9,5,0,1,4,2,19,-1,1,103.92,0.29,103.58,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,99,97.8,12.9,2.6,5,35.33333333,0.5015,0.425,0.6024
22015,203507,21501204,11-Apr-16,MIL @ ORL,L,37,5,7,0.714,1,2,0.5,0,2,0,2,7,9,3,1,3,5,5,11,-14,1,96.35,0.153,107.7,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,98.2,97.4,12.9,2.6,5,35.33333333,0.5015,0.425,0.6024
22015,203507,21501197,10-Apr-16,MIL @ PHI,W,40,4,15,0.267,1,4,0.25,5,6,0.833,1,8,9,7,3,5,3,0,14,-2,1,99.25,0.231,110.01,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,100.2,98.4,12.9,2.6,5,35.33333333,0.5015,0.425,0.6024
22015,203507,21501181,8-Apr-16,MIL @ BOS,L,27,8,12,0.667,4,5,0.8,7,8,0.875,0,7,7,7,1,1,5,5,27,-10,1,102.92,0.303,104.43,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,101.1,98.85,12.9,2.6,5,35.33333333,0.5015,0.425,0.6024
22015,203507,21501159,5-Apr-16,MIL vs. CLE,L,39,10,18,0.556,2,4,0.5,0,0,0,3,11,14,8,1,0,3,3,22,-25,1,94.09,0.241,105.85,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,95.5,96.05,12.9,2.6,5,34.66666667,0.5015,0.425,0.6024
22015,203507,21501150,3-Apr-16,MIL vs. CHI,L,43,14,22,0.636,1,1,1,5,7,0.714,0,5,5,9,1,1,4,4,34,4,1,92.27,0.286,107.44,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,98.2,97.4,12.9,2.6,5,35.33333333,0.5015,0.425,0.6024
22015,203507,21501133,1-Apr-16,MIL vs. ORL,W,39,5,13,0.385,0,1,0,8,11,0.727,2,9,11,11,2,3,4,1,18,8,1,105.53,0.234,107.7,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,98.2,97.4,12.9,2.6,5,36.33333333,0.5015,0.425,0.6024
22015,203507,21501115,30-Mar-16,MIL vs. PHX,W,32,3,5,0.6,1,1,1,3,8,0.375,1,2,3,6,0,1,2,4,10,19,1,97.91,0.157,109.45,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,100.9,98.75,12.9,2.6,5,40.33333333,0.5015,0.425,0.6024
22015,203507,21501089,26-Mar-16,MIL vs. CHA,L,26,3,9,0.333,0,2,0,2,2,1,0,3,3,1,2,0,0,3,8,-22,1,84.33,0.192,105.33,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,97.8,97.2,12.9,2.6,5,38,0.5015,0.425,0.6024
22015,203507,21501076,25-Mar-16,MIL @ ATL,L,40,5,14,0.357,0,1,0,1,2,0.5,0,7,7,4,1,3,2,3,11,-2,1,92.2,0.187,102.12,12.7,0.506,0.4,0.257,5.1,0.724,35.3,96.6,99.4,98,12.9,2.6,5,32.33333333,0.5015,0.425,0.6024
