SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE,LAST_10_FGA,LAST_10_3PA,LAST_10_FTA,LAST_3_MIN,LAST_10_FG_PCT,LAST_10_3P_PCT,LAST_10_FT_PCT
22015,202695,21501215,12-Apr-16,SAS vs. OKC,W,39,10,20,0.5,1,5,0.2,5,8,0.625,1,4,5,5,2,2,3,3,26,-1,1,89.23,0.329,106.29,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,99.4,97.55,15.4,4.3,6.9,37.66666667,0.4958,0.3479,0.8585
22015,202695,21501201,10-Apr-16,SAS vs. GSW,L,39,7,22,0.318,0,3,0,6,7,0.857,6,7,13,5,2,3,0,3,20,-10,1,89.28,0.261,104.53,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,101.6,98.65,15.4,4.3,6.9,37.66666667,0.4958,0.3479,0.8585
22015,202695,21501177,7-Apr-16,SAS @ GSW,L,35,8,12,0.667,2,3,0.667,5,8,0.625,1,2,3,2,1,0,2,0,23,-15,1,96.46,0.23,104.53,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,101.6,98.65,15.4,4.3,6.9,37.66666667,0.4958,0.3479,0.8585
22015,202695,21501161,5-Apr-16,SAS @ UTA,W,38,5,14,0.357,0,4,0,8,9,0.889,1,7,8,0,1,2,2,3,18,-18,1,85.85,0.278,104.48,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,93.3,94.5,15.4,4.3,6.9,37.66666667,0.4958,0.3479,0.8585
22015,202695,21501140,2-Apr-16,SAS vs. TOR,W,40,10,17,0.588,2,5,0.4,11,11,1,0,6,6,7,3,1,2,5,33,14,1,91.53,0.27,106.68,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,95.3,95.5,15.4,4.3,6.9,37.33333333,0.4958,0.3479,0.8585
22015,202695,21501118,30-Mar-16,SAS vs. NOP,W,22,4,9,0.444,1,5,0.2,7,7,1,0,6,6,4,3,2,0,1,16,17,1,96.36,0.255,109.96,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,98.9,97.3,15.4,4.3,6.9,37.66666667,0.4958,0.3479,0.8585
22015,202695,21501063,23-Mar-16,SAS vs. MIA,W,24,12,21,0.571,3,7,0.429,5,7,0.714,2,6,8,0,1,1,1,1,32,16,1,92.61,0.462,105.56,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,95.7,95.7,15.4,4.3,6.9,33.33333333,0.4958,0.3479,0.8585
22015,202695,21501043,21-Mar-16,SAS @ CHA,L,31,6,14,0.429,1,4,0.25,2,2,1,0,6,6,0,2,0,1,3,15,4,1,96.05,0.216,105.33,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,97.8,96.75,15.4,4.3,6.9,28.66666667,0.4958,0.3479,0.8585
22015,202695,21501036,19-Mar-16,SAS vs. GSW,W,39,5,14,0.357,1,3,0.333,7,8,0.875,6,8,14,4,0,2,4,4,18,7,1,90.93,0.25,104.53,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,101.6,98.65,15.4,4.3,6.9,25.66666667,0.4958,0.3479,0.8585
22015,202695,21501018,17-Mar-16,SAS vs. POR,W,31,8,11,0.727,4,4,1,2,2,1,0,2,2,1,0,3,0,1,22,21,1,100.5,0.19,108.45,15.1,0.506,1.8,0.443,4.6,0.874,33,95.7,98.3,97,15.4,4.3,6.9,31.33333333,0.4958,0.3479,0.8585
