SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE,LAST_10_FGA,LAST_10_3PA,LAST_10_FTA,LAST_3_MIN,LAST_10_FG_PCT,LAST_10_3P_PCT,LAST_10_FT_PCT
22016,202689,21601189,8-Apr-17,CHA vs. BOS,L,36,7,19,0.368,2,10,0.2,7,7,1,0,1,1,8,1,0,0,1,23,-6,1,102.78,0.265,109.49,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,99.3,98.55,20.7,10,5.5,35.66666667,0.4375,0.3691,0.8251
22016,202689,21601165,5-Apr-17,CHA vs. MIA,L,34,6,17,0.353,3,8,0.375,3,5,0.6,0,2,2,5,0,0,3,3,18,-14,1,89.87,0.319,107.84,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,97.6,97.7,20.7,10,5.5,35.66666667,0.4375,0.3691,0.8251
22016,202689,21601155,4-Apr-17,CHA @ WAS,L,37,13,25,0.52,6,14,0.429,5,6,0.833,0,5,5,4,2,1,2,3,37,4,1,97.93,0.375,110.49,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,99.7,98.75,20.7,10,5.5,35.66666667,0.4375,0.3691,0.8251
22016,202689,21601142,2-Apr-17,CHA @ OKC,W,34,10,20,0.5,6,12,0.5,3,4,0.75,0,3,3,4,4,0,4,1,29,9,1,108.32,0.325,107.75,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,100.5,99.15,20.7,10,5.5,35.66666667,0.4375,0.3691,0.8251
22016,202689,21601127,31-Mar-17,CHA vs. DEN,W,41,9,23,0.391,4,10,0.4,9,11,0.818,1,2,3,8,1,0,1,0,31,7,1,96.7,0.311,113.39,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,100.7,99.25,20.7,10,5.5,35,0.4375,0.3691,0.8251
22016,202689,21601114,29-Mar-17,CHA @ TOR,W,35,7,25,0.28,3,10,0.3,2,2,1,4,0,4,2,0,0,1,0,19,-9,1,94.74,0.325,109.14,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,97.1,97.45,20.7,10,5.5,37.33333333,0.4375,0.3691,0.8251
22016,202689,21601103,28-Mar-17,CHA vs. MIL,L,33,10,19,0.526,4,10,0.4,2,3,0.667,1,2,3,5,0,0,0,0,26,-10,1,92.67,0.29,110.46,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,96.7,97.25,20.7,10,5.5,36.66666667,0.4375,0.3691,0.8251
22016,202689,21601087,26-Mar-17,CHA vs. PHX,W,38,10,18,0.556,4,9,0.444,7,7,1,0,4,4,8,0,1,1,1,31,31,1,97.84,0.259,112.41,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,102.9,100.35,20.7,10,5.5,36.33333333,0.4375,0.3691,0.8251
22016,202689,21601073,24-Mar-17,CHA vs. CLE,L,39,10,20,0.5,5,10,0.5,3,4,0.75,0,1,1,5,2,1,4,0,28,12,1,95.67,0.28,111.38,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,98.4,98.1,20.7,10,5.5,35.33333333,0.4375,0.3691,0.8251
22016,202689,21601059,22-Mar-17,CHA @ ORL,W,33,8,21,0.381,1,7,0.143,5,6,0.833,0,3,3,7,0,0,1,1,22,-4,1,95.61,0.333,111.21,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,99.1,98.45,20.7,10,5.5,36.66666667,0.4375,0.3691,0.8251
22016,202689,21601044,20-Mar-17,CHA vs. ATL,W,29,6,16,0.375,4,8,0.5,0,0,0,0,4,4,4,1,0,0,0,16,-2,1,91.23,0.276,106.69,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,99.8,98.8,20.7,10,5.5,36.66666667,0.4375,0.3691,0.8251
22016,202689,21601030,18-Mar-17,CHA vs. WAS,W,34,5,18,0.278,4,9,0.444,2,3,0.667,0,2,2,6,0,0,2,1,16,4,1,98.95,0.288,110.49,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,99.7,98.75,20.4,9.8,4.8,33.66666667,0.4382,0.3991,0.7251
22016,202689,21601005,15-Mar-17,CHA @ IND,L,30,3,11,0.273,0,3,0,1,1,1,0,1,1,4,0,0,2,0,7,-25,1,89.7,0.21,109.81,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,98.1,97.95,20.5,9.9,4.6,32,0.4307,0.406,0.7318
22016,202689,21600991,13-Mar-17,CHA vs. CHI,L,38,9,24,0.375,3,12,0.25,0,0,0,0,4,4,10,0,0,2,3,21,14,1,100.95,0.295,107.98,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,97.7,97.75,19.1,8.8,4.1,31,0.406,0.3631,0.7485
22016,202689,21600976,11-Mar-17,CHA vs. NOP,L,40,9,24,0.375,4,15,0.267,2,2,1,0,8,8,12,0,0,2,1,24,13,1,98.35,0.29,107.57,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,100.1,98.95,19.5,8.8,3.7,34,0.3935,0.3381,0.6735
22016,202689,21600965,10-Mar-17,CHA vs. ORL,W,24,9,13,0.692,5,8,0.625,0,0,0,0,0,0,1,0,1,0,2,23,12,1,87.84,0.283,111.21,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,99.1,98.45,19.6,9.3,2.8,36,0.3919,0.3248,0.6917
22016,202689,21600951,8-Mar-17,CHA @ MIA,L,38,11,24,0.458,5,11,0.455,6,6,1,0,4,4,1,1,1,3,2,33,5,1,93.11,0.372,107.84,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,97.6,97.7,18.4,9.1,2.6,34,0.4331,0.3573,0.5917
22016,202689,21600941,6-Mar-17,CHA vs. IND,W,35,10,22,0.455,4,9,0.444,4,4,1,2,4,6,7,1,0,1,1,28,10,1,94.26,0.313,109.81,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,98.1,97.95,18.9,9.2,2.9,34,0.4263,0.3628,0.625
22016,202689,21600923,4-Mar-17,CHA @ DEN,W,38,8,21,0.381,5,9,0.556,6,6,1,1,3,4,4,2,1,1,0,27,1,1,93.21,0.301,113.39,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,100.7,99.25,19.3,9.2,2.6,32.33333333,0.4162,0.3628,0.625
22016,202689,21600907,2-Mar-17,CHA @ PHX,L,36,10,24,0.417,3,11,0.273,3,4,0.75,0,4,4,8,2,0,1,4,26,-5,1,102.76,0.302,112.41,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,102.9,100.35,19.4,9.1,2.8,37,0.4043,0.3684,0.65
22016,202689,21600894,28-Feb-17,CHA @ LAL,W,34,9,18,0.5,5,9,0.556,7,7,1,0,5,5,7,0,0,3,0,30,5,1,97.75,0.296,113.38,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,100.8,99.3,19.7,9.5,2.6,36.33333333,0.4079,0.3814,0.6417
22016,202689,21600881,26-Feb-17,CHA @ LAC,L,43,11,19,0.579,6,10,0.6,6,8,0.75,0,2,2,2,1,0,3,2,34,-18,1,93.95,0.275,108.82,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,98.2,98,19.9,9.6,3.3,36,0.4204,0.387,0.7417
22016,202689,21600866,25-Feb-17,CHA @ SAC,W,36,5,12,0.417,2,5,0.4,0,0,0,1,2,3,6,1,0,4,1,12,9,1,92.43,0.193,111.72,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,97.1,97.45,20,9.7,3.8,37.66666667,0.4505,0.4026,0.75
22016,202689,21600851,23-Feb-17,CHA @ DET,L,42,11,19,0.579,3,6,0.5,9,9,1,1,6,7,6,2,0,0,3,34,4,1,96.87,0.256,107.93,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,97.1,97.45,20.1,9.9,3.7,37.66666667,0.4649,0.4426,0.65
22016,202689,21600837,15-Feb-17,CHA @ TOR,L,43,8,15,0.533,6,10,0.6,2,2,1,0,4,4,9,2,0,3,2,24,0,1,94.5,0.216,109.14,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,97.1,97.45,19.6,9.3,4.6,40.33333333,0.4853,0.4676,0.75
22016,202689,21600821,13-Feb-17,CHA vs. PHI,L,38,10,18,0.556,1,4,0.25,8,10,0.8,0,7,7,3,2,0,2,2,29,0,1,103.31,0.286,109.91,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,100.9,99.35,18.7,8.8,4.6,40.33333333,0.5011,0.5009,0.75
22016,202689,21600808,11-Feb-17,CHA vs. LAC,L,42,4,17,0.235,1,9,0.111,1,2,0.5,1,3,4,4,2,1,2,2,10,4,1,93.33,0.222,108.82,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,98.2,98,19.2,8.4,5.6,41,0.4875,0.4634,0.83
22016,202689,21600794,9-Feb-17,CHA vs. HOU,L,36,6,14,0.429,2,6,0.333,0,0,0,0,5,5,5,1,2,6,3,14,-14,1,99.54,0.235,109.98,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,102.5,100.15,18.5,8.2,5.2,41,0.4652,0.429,0.78
22016,202689,21600779,7-Feb-17,CHA vs. BKN,W,35,4,20,0.2,1,4,0.25,8,9,0.889,1,2,3,5,0,0,1,2,17,2,1,108.15,0.258,111.37,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,103.6,100.7,17.7,7.9,4.8,38.66666667,0.4626,0.4179,0.68
22016,202689,21600760,4-Feb-17,CHA @ UTA,L,35,6,17,0.353,3,8,0.375,3,3,1,1,1,2,6,0,0,2,1,18,9,1,98.21,0.263,105.98,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,93.6,95.7,17.6,7.4,5.1,37.66666667,0.4445,0.3873,0.6689
22016,202689,21600741,1-Feb-17,CHA @ GSW,L,25,1,5,0.2,0,3,0,5,5,1,0,1,1,5,0,0,3,1,7,-27,1,103.67,0.167,104.61,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,102.2,100,16.9,7.1,5,35.33333333,0.4381,0.3975,0.6939
22016,202689,21600728,31-Jan-17,CHA @ POR,L,32,8,18,0.444,3,7,0.429,3,3,1,0,3,3,5,2,0,2,0,22,-7,1,98.42,0.292,111.31,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,99.1,98.45,15.6,6.5,4.8,31.66666667,0.4081,0.3419,0.6939
22016,202689,21600704,28-Jan-17,CHA vs. SAC,L,39,8,16,0.5,3,6,0.5,7,8,0.875,1,2,3,7,1,1,1,3,26,-4,1,90.96,0.253,111.72,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,97.1,97.45,15.5,6.2,4.3,30.66666667,0.3946,0.3248,0.7189
22016,202689,21600699,27-Jan-17,CHA @ NYK,L,37,13,29,0.448,2,11,0.182,3,4,0.75,2,8,10,5,0,1,1,1,31,3,1,99.63,0.369,112.6,18.3,0.444,3,0.399,4.5,0.847,34.7,97.8,98.6,98.2,15.9,6.3,5.1,32,0.4029,0.3348,0.8064
