SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE
22018,201142,0021800344,"DEC 03, 2018",GSW @ ATL,W,34,10,13,0.769,1,3,0.333,7,8,0.875,0,5,5,8,2,0,5,2,28,31,1,107.3,0.275,112.22,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,108.4,105.6
22018,201142,0021800331,"DEC 01, 2018",GSW @ DET,L,40,9,19,0.474,1,7,0.143,9,9,1.0,0,6,6,7,0,2,2,3,28,-5,1,101.89,0.263,108.37,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,102.8,102.8
22018,201142,0021800316,"NOV 29, 2018",GSW @ TOR,L,43,18,31,0.581,4,7,0.571,11,12,0.917,3,8,11,6,0,0,1,4,51,-5,1,96.15,0.365,107.98,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,103.3,103.05
22018,201142,0021800300,"NOV 26, 2018",GSW vs. ORL,W,40,16,33,0.485,4,10,0.4,13,13,1.0,0,6,6,9,2,2,4,4,49,13,1,100.35,0.453,108.80,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,101.1,101.94999999999999
22018,201142,0021800285,"NOV 24, 2018",GSW vs. SAC,W,40,13,26,0.5,2,8,0.25,16,17,0.941,1,12,13,7,0,2,7,3,44,3,1,103.58,0.421,111.64,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,107.2,105.0
22018,201142,0021800277,"NOV 23, 2018",GSW vs. POR,W,38,13,21,0.619,2,5,0.4,4,5,0.8,1,8,9,7,2,3,6,3,32,23,1,100.21,0.345,110.54,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,102.5,102.65
22018,201142,0021800264,"NOV 21, 2018",GSW vs. OKC,L,35,11,22,0.5,1,5,0.2,4,4,1.0,1,13,14,3,0,3,6,2,27,-16,2,102.96,0.354,101.05,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,105.1,103.94999999999999
22018,201142,0021800238,"NOV 18, 2018",GSW @ SAS,L,37,8,25,0.32,1,8,0.125,9,10,0.9,1,9,10,6,2,1,3,1,26,-19,1,96.9,0.371,114.43,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,100.6,101.69999999999999
22018,201142,0021800232,"NOV 17, 2018",GSW @ DAL,L,37,11,24,0.458,0,4,0.0,10,11,0.909,0,4,4,3,0,1,4,4,32,-13,1,102.81,0.352,109.07,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,102.8,102.8
22018,201142,0021800213,"NOV 15, 2018",GSW @ HOU,L,30,6,15,0.4,0,2,0.0,8,8,1.0,1,4,5,2,0,1,2,1,20,-11,1,85.56,0.303,113.39,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,99.3,101.05
22018,201142,0021800201,"NOV 13, 2018",GSW vs. ATL,W,37,9,23,0.391,0,3,0.0,11,11,1.0,0,6,6,3,2,1,4,3,29,-7,1,101.21,0.364,112.22,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,108.4,105.6
22018,201142,0021800198,"NOV 12, 2018",GSW @ LAC,L,39,10,24,0.417,2,4,0.5,11,13,0.846,1,10,11,10,1,2,4,6,33,4,1,96.57,0.388,109.50,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,104.4,103.6
22018,201142,0021800182,"NOV 10, 2018",GSW vs. BKN,W,30,9,15,0.6,1,1,1.0,9,9,1.0,1,4,5,11,2,1,2,0,28,22,1,94.68,0.3,112.19,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,101.0,101.9
22018,201142,0021800166,"NOV 08, 2018",GSW vs. MIL,L,31,6,15,0.4,1,2,0.5,4,5,0.8,0,5,5,9,0,1,6,1,17,-28,1,106.03,0.303,106.54,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,105.9,104.35
22018,201142,0021800147,"NOV 05, 2018",GSW vs. MEM,W,32,7,11,0.636,0,1,0.0,8,8,1.0,0,6,6,6,1,0,0,0,22,25,1,94.02,0.217,106.23,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,98.0,100.4
22018,201142,0021800124,"NOV 02, 2018",GSW vs. MIN,W,36,11,19,0.579,3,5,0.6,8,9,0.889,0,13,13,3,0,1,4,2,33,17,1,103.24,0.318,109.34,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,102.9,102.85
22018,201142,0021800108,"OCT 31, 2018",GSW vs. NOP,W,40,10,17,0.588,2,3,0.667,2,3,0.667,0,5,5,8,2,0,2,0,24,12,1,109.39,0.196,112.33,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,106.4,104.6
22018,201142,0021800091,"OCT 29, 2018",GSW @ CHI,W,28,5,9,0.556,1,4,0.25,3,3,1.0,0,2,2,7,1,1,0,2,14,45,1,108.34,0.154,109.94,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,102.8,102.8
22018,201142,0021800083,"OCT 28, 2018",GSW @ BKN,W,39,11,20,0.55,2,6,0.333,10,11,0.909,0,8,8,6,1,1,3,0,34,-2,1,103.65,0.298,112.19,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,101.0,101.9
22018,201142,0021800068,"OCT 26, 2018",GSW @ NYK,W,36,17,24,0.708,5,9,0.556,2,2,1.0,1,8,9,5,0,0,3,0,41,17,1,102.29,0.338,114.03,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,102.6,102.69999999999999
22018,201142,0021800062,"OCT 24, 2018",GSW vs. WAS,W,32,13,18,0.722,1,3,0.333,3,3,1.0,0,8,8,7,1,1,3,0,30,26,1,113.39,0.272,112.78,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,104.9,103.85
22018,201142,0021800047,"OCT 22, 2018",GSW vs. PHX,W,26,9,17,0.529,2,3,0.667,2,2,1.0,0,4,4,3,1,0,3,3,22,16,1,107.84,0.323,114.07,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,101.9,102.35
22018,201142,0021800038,"OCT 21, 2018",GSW @ DEN,L,39,7,19,0.368,0,4,0.0,6,7,0.857,0,11,11,7,1,1,4,2,20,0,2,100.68,0.289,104.71,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,100.5,101.65
22018,201142,0021800024,"OCT 19, 2018",GSW @ UTA,W,40,14,25,0.56,1,1,1.0,9,9,1.0,0,9,9,7,1,1,2,3,38,-1,2,106.58,0.33,108.00,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,101.9,102.35
22018,201142,0021800002,"OCT 16, 2018",GSW vs. OKC,W,38,9,21,0.429,0,5,0.0,9,10,0.9,1,7,8,6,1,1,3,4,27,14,1,104.99,0.296,101.05,20.2,0.518,1.5,0.327,8.1,0.931,35.8,102.8,105.1,103.94999999999999
