SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,ACTUAL_PACE,ACTUAL_PLAYER_USG,OPP_DEF_RTG,FGA_SEASON,FG_PCT_SEASON,FG3A_SEASON,FG3_PCT_SEASON,FTA_SEASON,FT_PCT_SEASON,MIN_SEASON,TEAM_PACE,OPP_PACE,AVG_PACE,LAST_10_FGA,LAST_10_3PA,LAST_10_FTA,LAST_3_MIN,LAST_10_FG_PCT,LAST_10_3P_PCT,LAST_10_FT_PCT
22015,2544,21501203,11-Apr-16,CLE vs. ATL,W,32,13,16,0.813,3,4,0.75,5,5,1,1,5,6,6,2,1,4,2,34,13,1,98.47,0.296,102.12,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,99.4,97.45,17.9,2.7,6,33,0.6511,0.4167,0.836
22015,2544,21501191,9-Apr-16,CLE @ CHI,L,39,13,17,0.765,4,5,0.8,3,4,0.75,3,4,7,3,0,1,4,1,33,7,1,93.39,0.25,107.44,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,98.2,96.85,17.9,2.7,6,33,0.6511,0.4167,0.836
22015,2544,21501159,5-Apr-16,CLE @ MIL,W,28,7,9,0.778,1,2,0.5,2,2,1,0,5,5,9,0,1,4,0,17,22,1,94.06,0.241,109.69,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,96.6,96.05,17.9,2.7,6,33,0.6511,0.4167,0.836
22015,2544,21501144,3-Apr-16,CLE vs. CHA,W,41,14,22,0.636,0,0,0,3,3,1,3,5,8,12,2,0,5,4,31,10,1,94.63,0.295,105.33,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,97.8,96.65,17.9,2.7,6,33,0.6511,0.4167,0.836
22015,2544,21501131,1-Apr-16,CLE @ ATL,W,44,12,26,0.462,1,5,0.2,4,5,0.8,3,13,16,9,3,1,3,4,29,6,1,105.92,0.284,102.12,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,99.4,97.45,17.9,2.7,6,36,0.6511,0.4167,0.836
22015,2544,21501122,31-Mar-16,CLE vs. BKN,W,31,8,11,0.727,0,0,0,8,10,0.8,0,4,4,11,2,1,6,0,24,28,1,107.22,0.267,111.66,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,97.4,96.45,17.9,2.7,6,37.66666667,0.6511,0.4167,0.836
22015,2544,21501086,26-Mar-16,CLE @ NYK,W,36,10,21,0.476,2,3,0.667,5,6,0.833,3,8,11,11,1,2,2,4,27,20,1,88.56,0.308,108.58,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,95.8,95.65,17.9,2.7,6,38.66666667,0.6511,0.4167,0.836
22015,2544,21501069,24-Mar-16,CLE @ BKN,L,35,13,16,0.813,1,2,0.5,3,4,0.75,1,5,6,5,1,0,4,2,30,-8,1,93.75,0.284,111.66,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,97.4,96.45,17.9,2.7,6,37,0.6511,0.4167,0.836
22015,2544,21501059,23-Mar-16,CLE vs. MIL,W,37,9,22,0.409,1,4,0.25,7,10,0.7,5,1,6,8,2,1,2,0,26,12,1,94.25,0.322,109.69,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,96.6,96.05,17.9,2.7,6,34,0.6511,0.4167,0.836
22015,2544,21501044,21-Mar-16,CLE vs. DEN,W,33,12,19,0.632,1,2,0.5,8,11,0.727,3,8,11,11,0,0,3,2,33,38,1,93.32,0.338,109.17,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,98.2,96.85,17.9,2.7,6,36,0.6511,0.4167,0.836
22015,2544,21501033,19-Mar-16,CLE @ MIA,L,27,13,20,0.65,0,3,0,0,0,0,0,3,3,3,1,0,3,1,26,-23,1,93.71,0.434,105.56,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,95.7,95.6,17.9,2.7,6,35,0.6511,0.4167,0.836
22015,2544,21501020,18-Mar-16,CLE @ ORL,W,36,6,15,0.4,0,3,0,6,6,1,1,6,7,8,1,1,4,3,18,-5,1,97.39,0.268,107.7,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,98.2,96.85,18.3,2.6,5.5,32.33333333,0.6348,0.3417,0.736
22015,2544,21500994,14-Mar-16,CLE @ UTA,L,37,10,20,0.5,2,6,0.333,1,2,0.5,6,6,12,3,1,0,3,0,23,6,1,86.54,0.308,104.48,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,93.3,94.4,18.1,2.4,5.7,32,0.5983,0.2617,0.761
22015,2544,21500983,13-Mar-16,CLE @ LAC,W,31,9,15,0.6,3,4,0.75,6,7,0.857,1,5,6,5,1,0,2,2,27,16,1,96.1,0.284,104.39,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,98,96.75,19.2,2.8,5.7,33.33333333,0.5705,0.245,0.711
22015,2544,21500962,10-Mar-16,CLE @ LAL,W,35,9,18,0.5,1,4,0.25,5,8,0.625,2,3,5,7,0,2,3,2,24,6,1,95.1,0.321,111.92,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,98,96.75,18.5,3.2,6.1,34.66666667,0.5669,0.32,0.6967
22015,2544,21500957,9-Mar-16,CLE @ SAC,W,37,8,19,0.421,1,5,0.2,8,9,0.889,4,7,11,6,0,0,5,1,25,16,1,101.12,0.301,108.77,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,102.2,98.85,17.7,3.1,6.4,34.33333333,0.5707,0.325,0.6792
22015,2544,21500938,7-Mar-16,CLE vs. MEM,L,38,11,19,0.579,2,4,0.5,4,5,0.8,2,7,9,5,1,0,4,2,28,-9,1,102.04,0.266,108.45,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,95.7,95.6,18.5,3.6,6.3,34.33333333,0.5401,0.345,0.6881
22015,2544,21500922,5-Mar-16,CLE vs. BOS,W,36,11,20,0.55,1,4,0.25,5,9,0.556,4,7,11,8,2,1,4,2,28,4,1,96.67,0.337,104.43,18.6,0.52,1.1,0.309,6.5,0.731,35.6,95.5,101.1,98.3,18.3,3.7,6.2,36.66666667,0.5504,0.3283,0.6848
